,index,source,target,name,osmid,access,highway,ref,oneway,junction,width,bridge,geometry,length,maxspeed,lanes,population,request,cost,node
14,42,19,140,Via Mercato Vecchio,28287252,,residential,,False,,,,"LINESTRING (12.0028245 45.7895512, 12.0027489 45.7895482, 12.0020256 45.7895149)",62.075,30,,5.751532847523266,3.178090586259651,2.0413276158410887,"(19, 140)"
15,43,19,149,Via della Pace,48180199,,residential,,False,,,,"LINESTRING (12.0028245 45.7895512, 12.0028213 45.7898919, 12.0028219 45.7900109, 12.0028239 45.7900672, 12.00284 45.79013, 12.0029 45.79022, 12.0029622 45.7902745)",83.254,30,,7.713864127067289,4.262404408674361,2.737796042355763,"(19, 149)"
16,46,21,123,Via Piave,27454547,,unclassified,,False,,,,"LINESTRING (12.0033993 45.7983576, 12.0032285 45.7980671, 12.0031184 45.7979137, 12.0029214 45.7976432, 12.0027707 45.7974372, 12.0026026 45.7971949, 12.0024288 45.7969567, 12.0022085 45.7966498, 12.0020057 45.7963268, 12.0018492 45.796036, 12.0017159 45.7957493, 12.001629 45.7955555, 12.0015363 45.7953738, 12.0013914 45.7950508, 12.0012349 45.7947399, 12.0011422 45.7945622, 12.0010205 45.7943522, 12.0008466 45.794114, 12.0006843 45.7938999, 12.0005638 45.7937316)",560.564,50,,53.836305585225965,29.74800988106717,18.618111995075324,"(21, 123)"
17,47,21,18,Via Piave,27454547,,unclassified,,False,,,,"LINESTRING (12.0033993 45.7983576, 12.0034447 45.7984358, 12.0034893 45.7985396, 12.0036052 45.7987738, 12.0037617 45.7991089, 12.003895 45.7993956, 12.0039819 45.7996016, 12.0041094 45.7998883, 12.0042079 45.8001023, 12.0043007 45.8002799, 12.0044166 45.8005545, 12.0044803 45.8006837, 12.0045383 45.8008372, 12.0046136 45.8009826, 12.0047005 45.80114, 12.0047991 45.8012814, 12.0049034 45.8014106, 12.0050714 45.8015721, 12.0052163 45.8017094, 12.0052912 45.8017707, 12.0054481 45.8018992, 12.0055756 45.8020203, 12.0058134 45.8022393)",475.62200000000007,50,,45.67851545061108,25.240307896427407,15.796918216870361,"(21, 18)"
18,48,21,61,,48214624,,residential,,False,,,yes,"LINESTRING (12.0033993 45.7983576, 12.0032815 45.7984048, 12.0031334 45.7984479)",22.974,30,,2.1286462446878693,1.1762135018723996,0.7554967482292898,"(21, 61)"
19,49,21,146,Via Lavaggio,115545243,,residential,,False,,,,"LINESTRING (12.0033993 45.7983576, 12.0034994 45.7983102, 12.0039328 45.7980715, 12.0045787 45.7978295, 12.005425 45.7973944, 12.0058058 45.7972151, 12.0060915 45.7971161, 12.0062283 45.7970239)",265.671,30,,24.615634041632756,13.601715733261177,8.736553347210918,"(21, 146)"
20,50,22,170,Via San Marco,115786882,,unclassified,,False,,,,,121.721,50,,11.69002817187563,6.459489925741535,4.042741257291877,"(22, 170)"
21,51,22,169,Via industrie Comunello,169348668,,residential,,False,,,,,168.303,30,,15.594043219278422,8.61670849680641,5.53462040642614,"(22, 169)"
22,52,22,23,Via San Marco,115786882,,unclassified,,False,,,,"LINESTRING (12.0006257 45.7831739, 12.0005573 45.7823523, 12.0004387 45.7809662, 12.0004207 45.7807266, 12.0004038 45.7803808, 12.0003884 45.7801952, 12.0003851 45.7801436, 12.0003195 45.7798007, 12.0002468 45.7795001, 12.0001973 45.7792855, 12.0001764 45.7791831, 12.0001506 45.7790687)",458.3929999999999,50,,44.023850311701224,24.325999338901575,15.224688370567076,"(22, 23)"
23,53,23,155,Via Cavour,48117677,,residential,,False,,,,"LINESTRING (12.0001506 45.7790687, 12.0001031 45.7790817, 12.0000384 45.7790964, 11.9998675 45.7791221, 11.9997553 45.7791328, 11.999597 45.7791339, 11.9987489 45.7791039, 11.9978978 45.7790706)",175.813,30,,16.289879090158806,9.00120242033134,5.781585696719603,"(23, 155)"
24,54,23,73,Via Giuseppe Mazzini,48180200,,residential,,False,,,,"LINESTRING (12.0001506 45.7790687, 12.0002112 45.7790557, 12.0002871 45.7790314, 12.0003523 45.7790142, 12.0016894 45.7788601)",121.899,30,,11.29450024293578,6.240935390647848,4.008631414311926,"(23, 73)"
25,55,23,218,Via San Marco,48470981,,unclassified,,False,,,,"LINESTRING (12.0001506 45.7790687, 12.0001025 45.7789034, 12.0000295 45.7786647, 11.9999309 45.7782528, 11.9998614 45.7779258, 11.9998096 45.7776728)",157.50500000000002,50,,15.126706872366077,8.358475207679204,5.231241624122026,"(23, 218)"
26,56,23,22,Via San Marco,115786882,,unclassified,,False,,,,"LINESTRING (12.0001506 45.7790687, 12.0001764 45.7791831, 12.0001973 45.7792855, 12.0002468 45.7795001, 12.0003195 45.7798007, 12.0003851 45.7801436, 12.0003884 45.7801952, 12.0004038 45.7803808, 12.0004207 45.7807266, 12.0004387 45.7809662, 12.0005573 45.7823523, 12.0006257 45.7831739)",458.393,50,,44.023850311701224,24.325999338901575,15.224688370567076,"(23, 22)"
27,57,24,217,Via San Marco,48470981,,unclassified,,False,,,,,194.983,50,,18.726076544202115,10.347357680193733,6.476005114734038,"(24, 217)"
28,58,24,218,Via San Marco,48470981,,unclassified,,False,,,,"LINESTRING (11.9995867 45.776582, 11.999618 45.7767588, 11.9996933 45.7770778, 11.9997513 45.7773604, 11.9998096 45.7776728)",122.532,50,,11.767916234308498,6.502528073060208,4.069677144769499,"(24, 218)"
29,59,24,196,Via San Marco,129705077,,residential,,False,,,,"LINESTRING (11.9995867 45.776582, 11.999633 45.7765812, 12.0001441 45.7765662, 12.000896 45.7764982)",102.066,30,,9.456882023605472,5.225533528428152,3.3564260078684907,"(24, 196)"
30,60,25,343,Via San Marco,48470981,,unclassified,,False,,,,,7.664,50,,0.7360469919673255,0.40671314556143245,0.2545457973224418,"(25, 343)"
31,61,25,215,Via San Marco,48470981,,unclassified,,False,,,,,10.315,50,,0.9906477977743948,0.547396411334313,0.3425939325914649,"(25, 215)"
32,62,25,296,Via Madonna della Salute,"[169348659, 169348662]",,residential,,False,,,,"LINESTRING (11.999008 45.7738216, 11.9989351 45.7738289, 11.9988742 45.7738268, 11.9988028 45.7738102, 11.9987343 45.7737874, 11.998657 45.7737448, 11.9985395 45.7736639, 11.9983555 45.7735079, 11.9980679 45.7733354, 11.9976775 45.7731997, 11.9972912 45.7731135, 11.9969049 45.7730436, 11.9965926 45.7729902, 11.9962642 45.7729482, 11.9959763 45.7729409, 11.9955818 45.7729368, 11.9951626 45.7729285, 11.9946755 45.7729064, 11.9942395 45.7728951, 11.9940157 45.7728882, 11.9939417 45.7728796)",421.927,30,,39.09346757562543,21.60164682704431,13.87500985854181,"(25, 296)"
33,63,26,348,Via San Marco,48470981,,unclassified,,False,,,,"LINESTRING (11.9984335 45.7694579, 11.998401 45.7692482, 11.9983662 45.7690866, 11.9983082 45.7689211, 11.9982213 45.7687555, 11.99809 45.76858, 11.9980224 45.7685169)",110.949,50,,10.655490306861012,5.887841438791149,3.684968902287004,"(26, 348)"
34,64,26,211,Via San Marco,48470981,,unclassified,,False,,,,"LINESTRING (11.9984335 45.7694579, 11.9984473 45.7695833, 11.9984589 45.769761, 11.9984705 45.7699831, 11.9984879 45.7703142, 11.9984995 45.7705928, 11.9985111 45.7707947, 11.9985143 45.7708808, 11.9985227 45.7711097, 11.9985343 45.7714448, 11.9985401 45.7717477, 11.9985484 45.7718235)",263.226,50,,25.280102493161692,13.968877146862424,8.742572031053898,"(26, 211)"
35,65,26,207,Via XXX Aprile,129780092,,residential,,False,,,,"LINESTRING (11.9984335 45.7694579, 11.9984836 45.7694571, 11.9989771 45.7694496, 11.9995906 45.7695462)",90.957,30,,8.427582331247258,4.656779467650729,2.9911081104157526,"(26, 207)"
36,66,27,348,Via San Marco,48470981,,unclassified,,False,,,,"LINESTRING (11.9948911 45.7666301, 11.9949989 45.7667123, 11.9951184 45.7668065, 11.9952947 45.7669223, 11.9954627 45.7670232, 11.9957061 45.7671605, 11.996106 45.7673745, 11.9964062 45.7675376, 11.9964479 45.7675603, 11.9967783 45.7677339, 11.9970101 45.7678712, 11.9972419 45.7680004, 11.9974389 45.7681054, 11.9976997 45.7682589, 11.99794 45.76844, 11.9980224 45.7685169)",321.846,50,,30.909940002181084,17.079723257615445,10.689528534060361,"(27, 348)"
37,67,27,290,Via San Marco,188748621,,unclassified,,True,,,,"LINESTRING (11.9948911 45.7666301, 11.9948091 45.7665869, 11.9947138 45.7665448, 11.9946201 45.7665084, 11.9945423 45.7664728)",32.257,50,,3.0979472625117452,1.7118144489007208,1.0713574875039151,"(27, 290)"
38,68,27,305,Via San Marco,188748622,,unclassified,,True,,,,"LINESTRING (11.9948911 45.7666301, 11.9948042 45.7665953, 11.9947447 45.7665819, 11.9946804 45.7665852, 11.9945951 45.7666043, 11.9945294 45.7666413)",31.122000000000003,50,,2.9889423909195076,1.6515822698542408,1.0336605303065025,"(27, 305)"
39,69,28,18,Via Piave,27454547,,unclassified,,False,,,,"LINESTRING (12.0084601 45.8056133, 12.0084443 45.8055451, 12.008407 45.8054931, 12.0076925 45.8049107, 12.0071372 45.8044408, 12.0069884 45.8042461, 12.006832 45.803967, 12.00629 45.803, 12.006074 45.8026623, 12.0059118 45.802412, 12.0058134 45.8022393)",432.665,50,,41.55294516956457,22.96066585651581,14.37017972318819,"(28, 18)"
40,70,29,99,Via Rodolfo Morandi,112696376,,residential,,False,,,,,88.179,30,,8.170187917225196,4.5145525542616145,2.8997539724083987,"(29, 99)"
41,71,29,92,Via San Francesco,301482506,,unclassified,,False,,,,"LINESTRING (11.99731 45.789183, 11.9976465 45.7891192, 11.9980823 45.7890667)",61.32899999999999,50,,5.890008607824125,3.2546073204771773,2.036931002608042,"(29, 92)"
42,72,29,39,Via San Francesco,301482506,,unclassified,,False,,,,"LINESTRING (11.99731 45.789183, 11.9969708 45.7892393, 11.9967155 45.7892961, 11.9963647 45.7893917)",77.016,50,,7.3965807846236356,4.087085023298445,2.557946128207879,"(29, 39)"
43,73,30,31,Via Mercato Vecchio,28287252,,residential,,False,,,,"LINESTRING (12.0090034 45.7901782, 12.0114331 45.789613, 12.011602 45.7895729, 12.0133585 45.7891568, 12.01443 45.7889161, 12.01482 45.78884, 12.01501 45.78881, 12.01518 45.78879, 12.0155679 45.7887527)",533.785,30,,49.45762321409917,27.328507186252235,17.553444404699725,"(30, 31)"
44,74,30,19,Via Mercato Vecchio,28287252,,residential,,False,,,,"LINESTRING (12.0090034 45.7901782, 12.0089391 45.7901923, 12.0085364 45.7902829, 12.0078708 45.7903734, 12.006698 45.7905159, 12.0064543 45.7905352, 12.0062764 45.7905226, 12.006012 45.7904763, 12.0057255 45.7903941, 12.0053321 45.7902611, 12.0051485 45.7901763, 12.0040192 45.7896852, 12.0038048 45.7896285, 12.0035904 45.7896011, 12.0033429 45.789585, 12.0029052 45.7895557, 12.0028245 45.7895512)",509.444,30,,47.20231816308727,26.082306574731557,16.75299405436242,"(30, 19)"
45,75,30,145,Via Rive,115532884,,residential,,False,,,,"LINESTRING (12.0090034 45.7901782, 12.0096073 45.790402, 12.0100656 45.7905173, 12.0115179 45.7907324, 12.0119898 45.7909019)",247.074,30,,22.892536879081167,12.649594096005107,8.12499362636039,"(30, 145)"
46,76,31,43,Via Mercato Vecchio,28287252,,residential,,False,,,,"LINESTRING (12.0155679 45.7887527, 12.01579 45.78873, 12.0159766 45.7886917, 12.0161786 45.7886423)",49.085,30,,4.547949896426572,2.513033853025452,1.6141532988088574,"(31, 43)"
47,77,31,30,Via Mercato Vecchio,28287252,,residential,,False,,,,"LINESTRING (12.0155679 45.7887527, 12.01518 45.78879, 12.01501 45.78881, 12.01482 45.78884, 12.01443 45.7889161, 12.0133585 45.7891568, 12.011602 45.7895729, 12.0114331 45.789613, 12.0090034 45.7901782)",533.785,30,,49.45762321409917,27.328507186252235,17.553444404699725,"(31, 30)"
48,78,32,33,Via Don Sturzo,28287531,,unclassified,,False,,,,"LINESTRING (12.0005308 45.7868237, 12.0004403 45.7868267, 11.9999327 45.7868432, 11.999361 45.78687)",90.856,50,,8.725767941307844,4.8215461316713855,3.017616513769281,"(32, 33)"
